stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
113972,52088,Masson / De Lorimier,45.539687,-73.581714,http://m.stm.info/fr/horaires/arrets/52088/bus,0,,1
113973,52089,De Lorimier / Masson,45.539522,-73.58197,http://m.stm.info/fr/horaires/arrets/52089/bus,0,,1
113974,52090,Masson / De Lorimier,45.539245,-73.581926,http://m.stm.info/fr/horaires/arrets/52090/bus,0,,1
114022,52091,Bélanger / 35e Avenue,45.572557,-73.580837,http://m.stm.info/fr/horaires/arrets/52091/bus,0,,1
114024,52092,Bélanger / 35e Avenue,45.572298,-73.580842,http://m.stm.info/fr/horaires/arrets/52092/bus,0,,1
114032,52093,Saint-Antoine / Rose-de-Lima,45.482418,-73.585071,http://m.stm.info/fr/horaires/arrets/52093/bus,0,,1
114034,52094,Saint-Jacques / Rose-de-Lima,45.481091,-73.582983,http://m.stm.info/fr/horaires/arrets/52094/bus,0,,1
114042,52095,Sherbrooke / Saint-Mathieu,45.495894,-73.582471,http://m.stm.info/fr/horaires/arrets/52095/bus,0,,1
114043,52096,Saint-Mathieu / Sherbrooke,45.49577,-73.582679,http://m.stm.info/fr/horaires/arrets/52096/bus,0,,1
114044,52097,Sherbrooke / Saint-Mathieu,45.495555,-73.582497,http://m.stm.info/fr/horaires/arrets/52097/bus,0,,1
114051,52098,D'Iberville / Dandurand,45.544233,-73.580806,http://m.stm.info/fr/horaires/arrets/52098/bus,0,,1
114053,52099,D'Iberville / Dandurand,45.544272,-73.581248,http://m.stm.info/fr/horaires/arrets/52099/bus,0,,1
114062,52100,du Mont-Royal / Saint-Hubert,45.526107,-73.581086,http://m.stm.info/fr/horaires/arrets/52100/bus,0,,1
114064,52101,du Mont-Royal / Resther,45.525447,-73.581514,http://m.stm.info/fr/horaires/arrets/52101/bus,0,,1
114074,52102,du Docteur-Penfield / de la Montagne,45.501108,-73.582061,http://m.stm.info/fr/horaires/arrets/52102/bus,0,,1
114081,52103,Saint-Laurent / Rachel,45.517979,-73.581473,http://m.stm.info/fr/horaires/arrets/52103/bus,0,,1
114082,52104,Rachel / Saint-Laurent,45.518162,-73.581655,http://m.stm.info/fr/horaires/arrets/52104/bus,0,,1
114092,52105,des Pins / Peel,45.504808,-73.581767,http://m.stm.info/fr/horaires/arrets/52105/bus,0,,1
114098,52106,Peel / des Pins,45.50429,-73.581558,http://m.stm.info/fr/horaires/arrets/52106/bus,0,,1
114101,52107,Saint-Michel / Rosemont,45.553227,-73.580146,http://m.stm.info/fr/horaires/arrets/52107/bus,0,,1
114102,52108,Rosemont / Saint-Michel,45.553428,-73.580373,http://m.stm.info/fr/horaires/arrets/52108/bus,0,,1
114103,52109,Saint-Michel / Rosemont,45.553206,-73.580646,http://m.stm.info/fr/horaires/arrets/52109/bus,0,,1
114104,52110,Rosemont / Saint-Michel,45.552993,-73.580451,http://m.stm.info/fr/horaires/arrets/52110/bus,0,,1
114112,52111,Saint-Joseph / Fabre,45.533957,-73.580852,http://m.stm.info/fr/horaires/arrets/52111/bus,0,,1
114114,52112,Saint-Joseph / Fabre,45.533671,-73.580802,http://m.stm.info/fr/horaires/arrets/52112/bus,0,,1
114121,52113,Côte-des-Neiges / Sherbrooke,45.496563,-73.582643,http://m.stm.info/fr/horaires/arrets/52113/bus,0,,1
114122,52114,Sherbrooke / Côte-des-Neiges,45.496683,-73.581765,http://m.stm.info/fr/horaires/arrets/52114/bus,0,,1
114124,52115,Sherbrooke / Côte-des-Neiges,45.496397,-73.581755,http://m.stm.info/fr/horaires/arrets/52115/bus,0,,1
114131,52116,Institut de cardiologie (Viau / Bélanger),45.573519,-73.579659,http://m.stm.info/fr/horaires/arrets/52116/bus,0,,1
114132,52117,Institut de cardiologie (Viau / Bélanger),45.573675,-73.579863,http://m.stm.info/fr/horaires/arrets/52117/bus,0,,1
114133,52118,Institut de cardiologie (Viau / Bélanger),45.573478,-73.580113,http://m.stm.info/fr/horaires/arrets/52118/bus,0,,1
114135,52119,Bélanger / Viau,45.573776,-73.579562,http://m.stm.info/fr/horaires/arrets/52119/bus,0,,1
